threshold,precision,recall,f1,f2,targeted_customers,targeted_rate,true_positives,false_positives,false_negatives,true_negatives
0.625,0.8947368421052632,0.9057377049180327,0.90020366598778,0.9035159443990188,247,0.1625,221,26,23,1250
0.63,0.8979591836734694,0.9016393442622951,0.8997955010224948,0.9009009009009009,245,0.1611842105263158,220,25,24,1251
0.635,0.8975409836065574,0.8975409836065574,0.8975409836065574,0.8975409836065574,244,0.16052631578947368,219,25,25,1251
0.64,0.8975409836065574,0.8975409836065574,0.8975409836065574,0.8975409836065574,244,0.16052631578947368,219,25,25,1251
0.645,0.8975409836065574,0.8975409836065574,0.8975409836065574,0.8975409836065574,244,0.16052631578947368,219,25,25,1251
0.65,0.8975409836065574,0.8975409836065574,0.8975409836065574,0.8975409836065574,244,0.16052631578947368,219,25,25,1251
0.655,0.897119341563786,0.8934426229508197,0.8952772073921971,0.8941755537325676,243,0.15986842105263158,218,25,26,1251
0.66,0.897119341563786,0.8934426229508197,0.8952772073921971,0.8941755537325676,243,0.15986842105263158,218,25,26,1251
0.665,0.9,0.8852459016393442,0.8925619834710744,0.8881578947368421,240,0.15789473684210525,216,24,28,1252
0.67,0.9037656903765691,0.8852459016393442,0.8944099378881988,0.8888888888888888,239,0.15723684210526315,216,23,28,1253
0.675,0.9033613445378151,0.8811475409836066,0.8921161825726142,0.8855024711696869,238,0.15657894736842104,215,23,29,1253
0.68,0.9067796610169492,0.8770491803278688,0.8916666666666667,0.8828382838283828,236,0.15526315789473685,214,22,30,1254
0.685,0.905982905982906,0.8688524590163934,0.8870292887029289,0.8760330578512396,234,0.15394736842105264,212,22,32,1254
0.69,0.9051724137931034,0.860655737704918,0.8823529411764706,0.8692052980132451,232,0.15263157894736842,210,22,34,1254
0.695,0.9090909090909091,0.860655737704918,0.8842105263157894,0.8699254349627175,231,0.15197368421052632,210,21,34,1255
0.7,0.9130434782608695,0.860655737704918,0.8860759493670886,0.8706467661691543,230,0.1513157894736842,210,20,34,1256
0.705,0.9130434782608695,0.860655737704918,0.8860759493670886,0.8706467661691543,230,0.1513157894736842,210,20,34,1256
0.71,0.9130434782608695,0.860655737704918,0.8860759493670886,0.8706467661691543,230,0.1513157894736842,210,20,34,1256
0.715,0.9130434782608695,0.860655737704918,0.8860759493670886,0.8706467661691543,230,0.1513157894736842,210,20,34,1256
0.72,0.9130434782608695,0.860655737704918,0.8860759493670886,0.8706467661691543,230,0.1513157894736842,210,20,34,1256
0.725,0.9130434782608695,0.860655737704918,0.8860759493670886,0.8706467661691543,230,0.1513157894736842,210,20,34,1256
0.73,0.9130434782608695,0.860655737704918,0.8860759493670886,0.8706467661691543,230,0.1513157894736842,210,20,34,1256
0.735,0.9126637554585153,0.8565573770491803,0.8837209302325582,0.8672199170124482,229,0.1506578947368421,209,20,35,1256
0.74,0.9126637554585153,0.8565573770491803,0.8837209302325582,0.8672199170124482,229,0.1506578947368421,209,20,35,1256
0.745,0.9126637554585153,0.8565573770491803,0.8837209302325582,0.8672199170124482,229,0.1506578947368421,209,20,35,1256
0.75,0.9126637554585153,0.8565573770491803,0.8837209302325582,0.8672199170124482,229,0.1506578947368421,209,20,35,1256
0.755,0.9166666666666666,0.8565573770491803,0.885593220338983,0.8679401993355482,228,0.15,209,19,35,1257
0.76,0.9247787610619469,0.8565573770491803,0.8893617021276595,0.8693843594009983,226,0.14868421052631578,209,17,35,1259
0.765,0.9247787610619469,0.8565573770491803,0.8893617021276595,0.8693843594009983,226,0.14868421052631578,209,17,35,1259
0.77,0.9247787610619469,0.8565573770491803,0.8893617021276595,0.8693843594009983,226,0.14868421052631578,209,17,35,1259
0.775,0.9247787610619469,0.8565573770491803,0.8893617021276595,0.8693843594009983,226,0.14868421052631578,209,17,35,1259
0.78,0.9288888888888889,0.8565573770491803,0.8912579957356077,0.8701082431307244,225,0.14802631578947367,209,16,35,1260
0.785,0.9288888888888889,0.8565573770491803,0.8912579957356077,0.8701082431307244,225,0.14802631578947367,209,16,35,1260
0.79,0.9369369369369369,0.8524590163934426,0.8927038626609443,0.8681135225375626,222,0.14605263157894738,208,14,36,1262
0.795,0.9369369369369369,0.8524590163934426,0.8927038626609443,0.8681135225375626,222,0.14605263157894738,208,14,36,1262
0.8,0.9369369369369369,0.8524590163934426,0.8927038626609443,0.8681135225375626,222,0.14605263157894738,208,14,36,1262
0.805,0.9411764705882353,0.8524590163934426,0.8946236559139785,0.8688387635756056,221,0.14539473684210527,208,13,36,1263
0.81,0.9411764705882353,0.8524590163934426,0.8946236559139785,0.8688387635756056,221,0.14539473684210527,208,13,36,1263
0.815,0.944954128440367,0.8442622950819673,0.8917748917748918,0.8626465661641541,218,0.14342105263157895,206,12,38,1264
0.82,0.9447004608294931,0.8401639344262295,0.8893709327548807,0.8591785414920369,217,0.14276315789473684,205,12,39,1264
0.825,0.9488372093023256,0.8360655737704918,0.8888888888888888,0.8564231738035264,215,0.14144736842105263,204,11,40,1265
0.83,0.9481132075471698,0.8237704918032787,0.881578947368421,0.8459595959595959,212,0.1394736842105263,201,11,43,1265
0.835,0.9478672985781991,0.819672131147541,0.8791208791208791,0.8424599831508003,211,0.1388157894736842,200,11,44,1265
0.84,0.9476190476190476,0.8155737704918032,0.8766519823788547,0.8389544688026982,210,0.13815789473684212,199,11,45,1265
0.845,0.9519230769230769,0.8114754098360656,0.8761061946902655,0.8361486486486487,208,0.1368421052631579,198,10,46,1266
0.85,0.9563106796116505,0.8073770491803278,0.8755555555555555,0.8333333333333334,206,0.1355263157894737,197,9,47,1267
0.855,0.9563106796116505,0.8073770491803278,0.8755555555555555,0.8333333333333334,206,0.1355263157894737,197,9,47,1267
0.86,0.9563106796116505,0.8073770491803278,0.8755555555555555,0.8333333333333334,206,0.1355263157894737,197,9,47,1267
0.865,0.9560975609756097,0.8032786885245902,0.8730512249443207,0.8298052497883149,205,0.13486842105263158,196,9,48,1267
0.87,0.9558823529411765,0.7991803278688525,0.8705357142857143,0.826271186440678,204,0.13421052631578947,195,9,49,1267
0.875,0.9554455445544554,0.7909836065573771,0.8654708520179372,0.8191850594227504,202,0.13289473684210526,193,9,51,1267
0.88,0.9597989949748744,0.7827868852459017,0.8623024830699775,0.8127659574468085,199,0.13092105263157894,191,8,53,1268
0.885,0.9642857142857143,0.7745901639344263,0.8590909090909091,0.8063139931740614,196,0.12894736842105264,189,7,55,1269
0.89,0.9641025641025641,0.7704918032786885,0.856492027334852,0.802732707087959,195,0.12828947368421054,188,7,56,1269
0.895,0.9689119170984456,0.7663934426229508,0.8558352402745996,0.7998289136013687,193,0.12697368421052632,187,6,57,1270
0.9,0.9689119170984456,0.7663934426229508,0.8558352402745996,0.7998289136013687,193,0.12697368421052632,187,6,57,1270
0.905,0.96875,0.7622950819672131,0.8532110091743119,0.7962328767123288,192,0.12631578947368421,186,6,58,1270
0.91,0.9682539682539683,0.75,0.8452655889145496,0.7854077253218884,189,0.12434210526315789,183,6,61,1270
0.915,0.967741935483871,0.7377049180327869,0.8372093023255814,0.774526678141136,186,0.12236842105263158,180,6,64,1270
0.92,0.9675675675675676,0.7336065573770492,0.8344988344988346,0.7708871662360034,185,0.12171052631578948,179,6,65,1270
0.925,0.9668508287292817,0.7172131147540983,0.8235294117647058,0.756266205704408,181,0.11907894736842105,175,6,69,1270
0.93,0.9666666666666667,0.7131147540983607,0.8207547169811321,0.7525951557093425,180,0.11842105263157894,174,6,70,1270
0.935,0.9659090909090909,0.6967213114754098,0.8095238095238095,0.7378472222222222,176,0.11578947368421053,170,6,74,1270
0.94,0.9653179190751445,0.6844262295081968,0.8009592326139089,0.7267188859878155,173,0.11381578947368422,167,6,77,1270
0.945,0.9649122807017544,0.6762295081967213,0.7951807228915663,0.7192676547515258,171,0.1125,165,6,79,1270
0.95,0.9644970414201184,0.6680327868852459,0.7893462469733656,0.7117903930131004,169,0.11118421052631579,163,6,81,1270
